Stock_Code,Stock_Name,Stock_Code1,Stock_Name1,Start_Date
600550,  ????????,600550,  ????????,  2001-02-28
600551,  ????????,600551,  ????????,  2002-09-05
600552,  ????????,600552,  ????????,  2002-11-08
600555,  *ST????,600555,  *ST????,  2001-03-28
600556,  ??????,600556,  ??????,  2001-08-07
600557,  ????????,600557,  ????????,  2002-09-18
600558,  ??????,600558,  ??????,  2001-02-27
600559,  ????????,600559,  ????????,  2002-10-29
600560,  ????????,600560,  ????????,  2002-09-19
600561,  ????????,600561,  ????????,  2002-07-16
600562,  ????????,600562,  ????????,  2003-01-28
600563,  ????????,600563,  ????????,  2002-12-10
600565,  ????????,600565,  ????????,  2002-07-23
600566,  ????????,600566,  ????????,  2001-08-22
600567,  ????????,600567,  ????????,  2001-12-18
600568,  ST????,600568,  ST????,  2001-05-18
600569,  ????????,600569,  ????????,  2001-08-20
600570,  ????????,600570,  ????????,  2003-12-16
600571,  ??????,600571,  ??????,  2002-11-01
600572,  ??????,600572,  ??????,  2004-04-12
600573,  ????????,600573,  ????????,  2003-02-26
600575,  ????????,600575,  ????????,  2003-03-28
600576,  ????????,600576,  ????????,  2003-02-20
600577,  ????????,600577,  ????????,  2002-09-11
600578,  ????????,600578,  ????????,  2002-05-10
600579,  ??????,600579,  ??????,  2002-08-09
600580,  ????????,600580,  ????????,  2002-06-06
600581,  ????????,600581,  ????????,  2002-08-16
600582,  ????????,600582,  ????????,  2002-05-15
600583,  ????????,600583,  ????????,  2002-02-05
600584,  ????????,600584,  ????????,  2003-06-03
600585,  ????????,600585,  ????????,  2002-02-07
600586,  ????????,600586,  ????????,  2002-08-15
600587,  ????????,600587,  ????????,  2002-09-27
600588,  ????????,600588,  ????????,  2001-05-18
600589,  ST????,600589,  ST????,  2001-06-12
600590,  ????????,600590,  ????????,  2002-07-03
600592,  ????????,600592,  ????????,  2002-08-05
600593,  *ST????,600593,  *ST????,  2002-07-11
600594,  ????????,600594,  ????????,  2004-03-23
600595,  *ST????,600595,  *ST????,  2002-06-26
